NDET	:	
	128	
DETECTOR	SPECTRUM	
	1000001	1
	1000002	2
	1000003	3
	1000004	4
	1000005	5
	1000006	6
	1000007	7
	1000008	8
	1000009	9
	1000010	10
	1000011	11
	1000012	12
	1000013	13
	1000014	14
	1000015	15
	1000016	16
	1000017	17
	1000018	18
	1000019	19
	1000020	20
	1000021	21
	1000022	22
	1000023	23
	1000024	24
	1000025	25
	1000026	26
	1000027	27
	1000028	28
	1000029	29
	1000030	30
	1000031	31
	1000032	32
	1000033	33
	1000034	34
	1000035	35
	1000036	36
	1000037	37
	1000038	38
	1000039	39
	1000040	40
	1000041	41
	1000042	42
	1000043	43
	1000044	44
	1000045	45
	1000046	46
	1000047	47
	1000048	48
	1000049	49
	1000050	50
	1000051	51
	1000052	52
	1000053	53
	1000054	54
	1000055	55
	1000056	56
	1000057	57
	1000058	58
	1000059	59
	1000060	60
	1000061	61
	1000062	62
	1000063	63
	1000064	64
	1000065	65
	1000066	66
	1000067	67
	1000068	68
	1000069	69
	1000070	70
	1000071	71
	1000072	72
	1000073	73
	1000074	74
	1000075	75
	1000076	76
	1000077	77
	1000078	78
	1000079	79
	1000080	80
	1000081	81
	1000082	82
	1000083	83
	1000084	84
	1000085	85
	1000086	86
	1000087	87
	1000088	88
	1000089	89
	1000090	90
	1000091	91
	1000092	92
	1000093	93
	1000094	94
	1000095	95
	1000096	96
	1000097	97
	1000098	98
	1000099	99
	1000100	100
	1000101	101
	1000102	102
	1000103	103
	1000104	104
	1000105	105
	1000106	106
	1000107	107
	1000108	108
	1000109	109
	1000110	110
	1000111	111
	1000112	112
	1000113	113
	1000114	114
	1000115	115
	1000116	116
	1000117	117
	1000118	118
	1000119	119
	1000120	120
	1000121	121
	1000122	122
	1000123	123
	1000124	124
	1000125	125
	1000126	126
	1000127	127
	1000128	128
